"","long","lat","order","hole","piece","id","group","Town","Census.Tract.x","Total.Number.of.Cases","Total.Rate.per.10.000","Number.of.Female.Cases","Female.Rate.per.10.000","Number.of.Male.Cases","Male.Rate.per.10.000","Number.of.Cases...19.Years.Old","Rate.per.10.000....19.Years.Old","Number.of.Cases...20.Years.Old","Rate.per.10.000...20.Years.Old","point","total.respiratory"
"1",-73.66335921,41.04169632,1,FALSE,"1","09001010101","09001010101.1","Greenwich","10101",39,17.4,21,"17.7",18,".",14,NA,25,15.2,0.013721299878785,1.79601085183313
"2",-73.6418112,41.07671032,636,FALSE,"1","09001010102","09001010102.1","Greenwich","10102",48,22.2,26,"23.9",22,"20.399999999999999",14,NA,34,23.4,0.013400885282819,1.4877847844999
"3",-73.60537319,41.03690032,1348,FALSE,"1","09001010201","09001010201.1","Greenwich","10201",21,12.3,9,".",12,".",13,NA,8,NA,0.013231732906844,1.62616419275629
"4",-73.60358719,41.04783532,2037,FALSE,"1","09001010202","09001010202.1","Greenwich","10202",108,40.3,59,"41.9",50,"39.299999999999997",51,62.8,57,30.5,0.012921439280554,1.64334299629551
"5",-73.6213162,41.03592032,2448,FALSE,"1","09001010300","09001010300.1","Greenwich","10300",54,26.9,22,"21.2",31,"32",18,NA,35,25,0.013357487664716,1.80308333299124
"6",-73.66525821,41.02372531,3147,FALSE,"1","09001010400","09001010400.1","Greenwich","10400",102,38.6,47,"33.700000000000003",55,"44",48,79.9,54,26.4,0.013386799989121,1.9863746079502
"7",-73.6456492,41.00954231,3424,FALSE,"1","09001010500","09001010500.1","Greenwich","10500",291,105.9,153,"104.1",138,"108",94,151.4,197,92.7,0.013382867614953,2.23787995395839
"8",-73.6229802,41.03424432,3654,FALSE,"1","09001010600","09001010600.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013350522937407,2.82555082042569
"9",-73.6228832,41.03492832,3852,FALSE,"1","09001010700","09001010700.1","Greenwich","10700",145,81,77,"76",68,"87.6",38,94.8,107,77.1,0.013166370468854,2.04245324580353
"10",-73.60563819,41.05056732,4032,FALSE,"1","09001010800","09001010800.1","Greenwich","10800",21,12.4,14,".",7,".",10,NA,10,NA,0.013231835376314,2.07796236997083
"11",-73.57894218,41.05763932,4312,FALSE,"1","09001010900","09001010900.1","Greenwich","10900",86,35.3,59,"46.4",27,"23.2",40,55,46,26.9,0.015425272666807,2.04223503796489
"12",-73.57298918,41.02012131,4492,FALSE,"1","09001011000","09001011000.1","Greenwich","11000",61,23.2,33,"24.1",29,"23",26,28.1,35,20.5,0.016586003745611,2.04815843089519
"13",-73.57392118,41.02642532,4704,FALSE,"1","09001011100","09001011100.1","Greenwich","11100",44,18,21,"17.100000000000001",23,"18.899999999999999",18,NA,26,17,0.01621354435441,1.9998948112577
"14",-73.6391672,41.00151931,4869,FALSE,"1","09001011200","09001011200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013394393377972,1.84253367493756
"15",-73.6391672,41.00151931,5021,FALSE,"1","09001011300","09001011300.1","Greenwich","11300",82,51,43,"52.1",39,"49.8",47,124.8,35,28.4,0.014440605179427,2.41093208689487
"16",-73.53995917,41.05921532,5238,FALSE,"1","09001020100","09001020100.1","Stamford","20100",107,60.7,45,"49.9",62,"72.099999999999994",16,NA,90,57.1,0.014589043868533,3.68362945296976
"17",-73.6264282,41.13461534,5366,FALSE,"1","09001020200","09001020200.1","Stamford","20200",30,16.3,12,".",17,".",7,NA,22,16.3,0.012318907574527,1.56090341189293
"18",-73.58471219,41.16622834,5749,FALSE,"1","09001020300","09001020300.1","Stamford","20300",71,19.6,45,"24.4",26,"14.6",24,24,47,17.9,0.011492320043803,1.4933865022916
"19",-73.54415518,41.13642434,6192,FALSE,"1","09001020400","09001020400.1","Stamford","20400",27,15.1,21,"23.4",6,".",10,NA,17,NA,0.011714175167132,1.70416834562735
"20",-73.59244919,41.09062233,6513,FALSE,"1","09001020500","09001020500.1","Stamford","20500",53,21.7,26,"20.399999999999999",27,"23",21,33.7,32,17.5,0.013562352004501,1.76261004409432
